Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,21.0,122930.0,0.17,2019
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,11.0,74352.0,0.15 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,15.0,39537.0,0.38 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,26.0,82381.0,0.32,2019
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,10.0,58223.0,0.17 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,11.0,23687.0,0.47 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,12.0,19605.0,0.61 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Underweight <18.5,2500 - 2999 grams,12.0,22941.0,0.52 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2000 - 2499 grams,25.0,38445.0,0.65,2019
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2500 - 2999 grams,62.0,211957.0,0.29,2019
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3000 - 3499 grams,91.0,458350.0,0.2,2019
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3500 - 3999 grams,38.0,279019.0,0.14,2019
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2000 - 2499 grams,17.0,21123.0,0.81 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2500 - 2999 grams,40.0,117266.0,0.34,2019
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3000 - 3499 grams,62.0,277168.0,0.22,2019
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3500 - 3999 grams,35.0,197874.0,0.18,2019
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,4000 - 4499 grams,13.0,49208.0,0.27 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,23.0,63491.0,0.36,2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,45.0,149677.0,0.3,2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,18.0,112089.0,0.16 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,14.0,29844.0,0.47 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,28.0,69693.0,0.4,2019
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,11.0,54322.0,0.20 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,16.0,20678.0,0.78 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,13.0,46224.0,0.28 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,12.0,36098.0,0.33 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,10.0,15637.0,0.64 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,21.0,64960.0,0.32,2019
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,19.0,122930.0,0.15 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,11.0,74352.0,0.15 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,15.0,39537.0,0.38 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,17.0,82381.0,0.21 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,11.0,23687.0,0.47 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,13.0,49872.0,0.26 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2000 - 2499 grams,22.0,38445.0,0.57,2019
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2500 - 2999 grams,62.0,211957.0,0.29,2019
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3000 - 3499 grams,79.0,458350.0,0.17,2019
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3500 - 3999 grams,35.0,279019.0,0.13,2019
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2500 - 2999 grams,36.0,117266.0,0.31,2019
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3000 - 3499 grams,53.0,277168.0,0.19,2019
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3500 - 3999 grams,20.0,197874.0,0.1,2019
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,24.0,63491.0,0.38,2019
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,46.0,149677.0,0.31,2019
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,18.0,112089.0,0.16 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,16.0,29844.0,0.54 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,28.0,69693.0,0.4,2019
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,19.0,54322.0,0.35 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,10.0,20678.0,0.48 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,10.0,46224.0,0.22 (Unreliable),2019
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,11.0,36098.0,0.30 (Unreliable),2019
Assault by unspecified means,No,No,Normal 18.5-24.9,2500 - 2999 grams,12.0,211957.0,0.06 (Unreliable),2019
Newborn affected by incompetent cervix,No,Yes,Overweight 25.0-29.9,499 grams or less,19.0,178.0,108.08 (Unreliable),2020
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,48.0,745.0,64.97,2020
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,42.0,636.0,65.48,2020
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,35.0,524.0,67.32,2020
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,25.0,332.0,76.45,2020
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,16.0,304.0,53.13 (Unreliable),2020
Newborn affected by incompetent cervix,No,No,Unknown or Not Stated,499 grams or less,11.0,195.0,56.80 (Unreliable),2020
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,22.0,179.0,124.02,2020
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,25.0,178.0,141.37,2020
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,14.0,154.0,91.98 (Unreliable),2020
Newborn affected by premature rupture of membranes,No,Yes,Obesity II 35.0-39.9,499 grams or less,15.0,108.0,139.96 (Unreliable),2020
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,79.0,745.0,105.52,2020
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,62.0,636.0,96.95,2020
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,500 - 749 grams,11.0,175.0,64.18 (Unreliable),2020
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,60.0,524.0,113.88,2020
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,26.0,332.0,78.97,2020
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,39.0,304.0,129.04,2020
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,23.0,195.0,118.64,2020
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,29.0,745.0,39.5,2020
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,29.0,636.0,46.0,2020
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity I 30.0-34.9,499 grams or less,13.0,524.0,25.11 (Unreliable),2020
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity II 35.0-39.9,499 grams or less,10.0,332.0,30.41 (Unreliable),2020
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,13.0,179.0,72.98 (Unreliable),2020
Newborn affected by chorioamnionitis,No,Yes,Overweight 25.0-29.9,499 grams or less,14.0,178.0,79.53 (Unreliable),2020
Newborn affected by chorioamnionitis,No,Yes,Obesity I 30.0-34.9,499 grams or less,14.0,154.0,91.98 (Unreliable),2020
Newborn affected by chorioamnionitis,No,Yes,Extreme Obesity III > 39.9,499 grams or less,10.0,77.0,130.10 (Unreliable),2020
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,14.0,745.0,19.07 (Unreliable),2020
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,19.0,636.0,30.12 (Unreliable),2020
Newborn affected by chorioamnionitis,No,No,Obesity II 35.0-39.9,499 grams or less,11.0,332.0,33.60 (Unreliable),2020
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,499 grams or less,16.0,135.0,119.49 (Unreliable),2020
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,27.0,782.0,34.74,2020
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,15.0,121.0,125.05 (Unreliable),2020
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,15.0,715.0,21.06 (Unreliable),2020
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,16.0,549.0,29.47 (Unreliable),2020
Extreme immaturity,Yes,Yes,Extreme Obesity III > 39.9,500 - 749 grams,11.0,308.0,35.83 (Unreliable),2020
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,41.0,225.0,180.12,2020
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,37.0,1065.0,34.93,2020
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,30.0,241.0,125.25,2020
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,28.0,907.0,31.16,2020
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,31.0,180.0,173.78,2020
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,32.0,677.0,47.7,2020
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,19.0,99.0,193.30 (Unreliable),2020
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,13.0,427.0,30.65 (Unreliable),2020
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,20.0,105.0,191.8,2020
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,18.0,357.0,50.60 (Unreliable),2020
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,56.0,179.0,311.05,2020
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,27.0,103.0,264.51,2020
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,53.0,178.0,299.98,2020
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,11.0,76.0,146.23 (Unreliable),2020
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,53.0,154.0,341.64,2020
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,500 - 749 grams,14.0,72.0,196.32 (Unreliable),2020
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,36.0,108.0,336.48,2020
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,28.0,77.0,365.29,2020
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,22.0,67.0,330.69,2020
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,294.0,745.0,394.71,2020
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,51.0,221.0,229.39,2020
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,225.0,636.0,353.04,2020
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,31.0,175.0,178.23,2020
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,216.0,524.0,411.98,2020
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,32.0,148.0,218.91,2020
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,127.0,332.0,382.46,2020
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,19.0,68.0,283.51 (Unreliable),2020
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,123.0,304.0,404.76,2020
Extreme immaturity,No,No,Extreme Obesity III > 39.9,500 - 749 grams,13.0,68.0,193.71 (Unreliable),2020
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,68.0,195.0,346.46,2020
Extreme immaturity,No,No,Unknown or Not Stated,500 - 749 grams,15.0,45.0,336.90 (Unreliable),2020
Other preterm infants,Yes,No,Overweight 25.0-29.9,499 grams or less,10.0,241.0,42.22 (Unreliable),2020
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,19.0,179.0,107.86 (Unreliable),2020
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,15.0,178.0,85.54 (Unreliable),2020
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,28.0,154.0,183.05,2020
Other preterm infants,No,Yes,Obesity II 35.0-39.9,499 grams or less,14.0,108.0,130.57 (Unreliable),2020
Other preterm infants,No,No,Underweight <18.5,499 grams or less,10.0,67.0,150.14 (Unreliable),2020
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,77.0,745.0,102.96,2020
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,20.0,221.0,91.05,2020
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,87.0,636.0,136.61,2020
Other preterm infants,No,No,Overweight 25.0-29.9,500 - 749 grams,13.0,175.0,75.03 (Unreliable),2020
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,52.0,524.0,100.17,2020
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,41.0,332.0,124.48,2020
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,33.0,304.0,109.05,2020
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,27.0,195.0,139.32,2020
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,21.0,782.0,27.03,2020
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,17.0,715.0,23.88 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,13.0,549.0,23.86 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,16.0,1065.0,15.12 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,10.0,1392.0,7.23 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,499 grams or less,11.0,241.0,45.80 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,22.0,907.0,24.42,2020
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,750 - 999 grams,10.0,1131.0,8.89 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,11.0,427.0,25.96 (Unreliable),2020
Respiratory distress syndrome of newborn,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,10.0,357.0,28.09 (Unreliable),2020
Unspecified pulmonary haemorrhage originating in the perinatal period,Yes,No,Overweight 25.0-29.9,500 - 749 grams,11.0,907.0,12.16 (Unreliable),2020
Primary atelectasis of newborn,No,No,Normal 18.5-24.9,499 grams or less,11.0,745.0,14.97 (Unreliable),2020
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,500 - 749 grams,13.0,1065.0,12.26 (Unreliable),2020
Neonatal cardiac failure,Yes,No,Overweight 25.0-29.9,500 - 749 grams,13.0,907.0,14.40 (Unreliable),2020
Neonatal cardiac failure,No,No,Normal 18.5-24.9,499 grams or less,13.0,745.0,17.64 (Unreliable),2020
Neonatal cardiac failure,No,No,Overweight 25.0-29.9,499 grams or less,14.0,636.0,22.18 (Unreliable),2020
Neonatal cardiac failure,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,524.0,21.08 (Unreliable),2020
Neonatal cardiac dysrhythmia,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,907.0,11.07 (Unreliable),2020
Neonatal cardiac dysrhythmia,No,No,Normal 18.5-24.9,499 grams or less,21.0,745.0,28.4,2020
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,20.0,636.0,31.95,2020
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,17.0,524.0,32.61 (Unreliable),2020
Neonatal cardiac dysrhythmia,No,No,Unknown or Not Stated,499 grams or less,10.0,195.0,51.76 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,16.0,782.0,20.57 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,15.0,549.0,27.57 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity II 35.0-39.9,500 - 749 grams,10.0,352.0,28.80 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,18.0,1065.0,16.97 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,18.0,907.0,19.88 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,750 - 999 grams,10.0,1131.0,8.86 (Unreliable),2020
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,500 - 749 grams,13.0,677.0,19.36 (Unreliable),2020
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,17.0,782.0,21.91 (Unreliable),2020
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1065.0,10.37 (Unreliable),2020
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,907.0,11.11 (Unreliable),2020
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,17.0,677.0,25.41 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,782.0,12.81 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,715.0,14.02 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,Yes,Overweight 25.0-29.9,750 - 999 grams,12.0,910.0,13.21 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,14.0,1065.0,13.15 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,11.0,1392.0,7.92 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,13.0,907.0,14.34 (Unreliable),2020
Necrotizing enterocolitis of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,10.0,677.0,14.79 (Unreliable),2020
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,13447.0,1.06 (Unreliable),2020
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,15.0,14542.0,1.04 (Unreliable),2020
Hypoxic ischemic encephalopathy of newborn,Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,13.0,10653.0,1.23 (Unreliable),2020
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,10.0,35886.0,0.28 (Unreliable),2020
Anencephaly,No,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,200809.0,0.07 (Unreliable),2020
Anencephaly,No,No,Overweight 25.0-29.9,2000 - 2499 grams,10.0,20467.0,0.49 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,10.0,12756.0,0.78 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,16.0,13447.0,1.19 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,3000 - 3499 grams,11.0,14542.0,0.76 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,2500 - 2999 grams,14.0,9393.0,1.50 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,12.0,10653.0,1.13 (Unreliable),2020
"Congenital malformation of heart, unspecified",Yes,No,Obesity I 30.0-34.9,2500 - 2999 grams,12.0,5902.0,2.05 (Unreliable),2020
"Edwards syndrome, unspecified",Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,11.0,7169.0,1.54 (Unreliable),2020
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,21.0,9164.0,2.3,2020
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,14.0,12756.0,1.10 (Unreliable),2020
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,12.0,6348.0,1.90 (Unreliable),2020
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,14.0,8767.0,1.60 (Unreliable),2020
"Edwards syndrome, unspecified",Yes,No,Obesity I 30.0-34.9,1500 - 1999 grams,13.0,4220.0,3.11 (Unreliable),2020
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,17.0,2597.0,6.59 (Unreliable),2020
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,2000 - 2499 grams,11.0,35886.0,0.31 (Unreliable),2020
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1500 - 1999 grams,13.0,1672.0,7.81 (Unreliable),2020
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,2000 - 2499 grams,10.0,20467.0,0.49 (Unreliable),2020
"Patau syndrome, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,13.0,13447.0,0.98 (Unreliable),2020
"Patau syndrome, unspecified",No,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,200809.0,0.07 (Unreliable),2020
Sudden infant death syndrome - SIDS,Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,10.0,7169.0,1.40 (Unreliable),2020
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,15.0,9164.0,1.64 (Unreliable),2020
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,12756.0,0.95 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,15417.0,0.78 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,26.0,62792.0,0.42,2020
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,37.0,117553.0,0.32,2020
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,20.0,39883.0,0.5,2020
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,30.0,81580.0,0.37,2020
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,13.0,58139.0,0.23 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,12.0,24265.0,0.50 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,20.0,50363.0,0.4,2020
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3500 - 3999 grams,11.0,37507.0,0.29 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,10.0,20193.0,0.50 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,No,Underweight <18.5,2500 - 2999 grams,13.0,20727.0,0.63 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2000 - 2499 grams,18.0,35886.0,0.50 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2500 - 2999 grams,83.0,200809.0,0.42,2020
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3000 - 3499 grams,107.0,429659.0,0.25,2020
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3500 - 3999 grams,44.0,263142.0,0.17,2020
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2000 - 2499 grams,15.0,20467.0,0.74 (Unreliable),2020
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2500 - 2999 grams,54.0,114685.0,0.47,2020
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3000 - 3499 grams,78.0,269802.0,0.29,2020
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3500 - 3999 grams,64.0,192826.0,0.33,2020
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,30.0,62906.0,0.48,2020
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,63.0,148865.0,0.43,2020
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,24.0,111507.0,0.22,2020
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,23.0,29940.0,0.77,2020
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,25.0,69913.0,0.36,2020
